GENE	LOEUF	pLI
AKNAD1	1.23	0
GPSM2	0.86	0
CLCC1	0.57	0.01
WDR47	0.39	0.29
TAF13	1.08	0.02
TMEM167B	0.79	0.68
C1orf194	1.76	0
KIAA1324	0.72	0
SARS	0.21	1
CELSR2	0.25	1
PSRC1	1.29	0
MYBPHL	0.75	0
SORT1	0.21	1
PSMA5	0.2	0.99
SYPL2	1.2	0
ATXN7L2	0.38	0.87
CYB561D1	1.5	0
AMIGO1	0.24	0.98
GPR61	0.46	0.78
GNAI3	0.61	0.04
GNAT2	0.98	0
AMPD2	0.64	0
GSTM4	1.62	0
GSTM2	1.39	0
GSTM1	1.01	0
GSTM5	1.54	0
GSTM3	1.17	0
EPS8L3	0.91	0
CSF1	0.23	1
AHCYL1	0.28	0.99
STRIP1	0.55	0
ALX3	1.03	0.02
UBL4B	1.84	0.03
SLC6A17	0.42	0.5
KCNC4	0.73	0
RBM15	0.28	0.99
SLC16A4	1.05	0
LAMTOR5	1.77	0
PROK1	1.9	0
KCNA10	1.22	0
KCNA2	0.38	0.91
KCNA3	0.39	0.89
CD53	0.99	0
LRIF1	0.68	0
DRAM2	1.08	0
CEPT1	0.24	0.99
DENND2D	0.64	0
CHI3L2	1.45	0
CHIA	1.24	0
PIFO	1.59	0
OVGP1	0.72	0
WDR77	0.82	0
ATP5F1	0.87	0
C1orf162	1.82	0
ADORA3	1.07	0
RAP1A	0.54	0.62
FAM212B	0.97	0.01
DDX20	1.04	0
KCND3	0.28	0.99
CTTNBP2NL	0.69	0
WNT2B	0.61	0.04
ST7L	0.87	0
CAPZA1	0.36	0.93
MOV10	0.34	0.81
RHOC	0.52	0.77
RP11-426L16.10	1.05	0
PPM1J	1.05	0
FAM19A3	1.66	0
SLC16A1	0.82	0
LRIG2	0.91	0
MAGI3	0.39	0.03
PHTF1	1.17	0
RSBN1	0.44	0.1
PTPN22	1.09	0
BCL2L15	1.1	0.05
AP4B1	0.83	0
DCLRE1B	0.47	0.54
HIPK1	0.12	1
OLFML3	1.25	0
SYT6	0.78	0.01
TRIM33	0.09	1
BCAS2	1.33	0
DENND2C	0.72	0
AMPD1	1.2	0
NRAS	0.61	0.49
CSDE1	0.14	1
SIKE1	0.7	0.2
SYCP1	0.22	1
TSHB	1.8	0.01
TSPAN2	1.17	0
NGF	0.53	0.82
VANGL1	0.6	0.02
CASQ2	1.38	0
NHLH2	1.09	0.58
SLC22A15	0.94	0
MAB21L3	1.07	0
ATP1A1	0.12	1
AL136376.1	1.87	0.03
CD58	0.65	0.25
IGSF3	0.37	0.26
C1orf137	1.44	0.02
CD2	0.62	0.47
PTGFRN	0.54	0
CD101	0.85	0
TTF2	0.88	0
TRIM45	1.08	0
VTCN1	1.85	0
MAN1A2	0.23	1
FAM46C	0.32	0.95
GDAP2	0.9	0
WDR3	0.73	0
SPAG17	0.63	0
TBX15	0.44	0.66
WARS2	0.67	0.05
HAO2	1.26	0
HSD3B2	1.62	0
HSD3B1	1.44	0
ZNF697	0.89	0
PHGDH	0.78	0
HMGCS2	1.2	0
REG4	1.25	0
ADAM30	NA	 NA
NOTCH2	0.12	1
PPIAL4A	NA	 NA
FCGR1B	1.9	0
FAM72B	1.86	0
HIST2H3PS2	1.92	0
FAM72C	1.8	0.36
NBPF15	1.93	0
FAM72D	1.84	0.03
NBPF8	1.97	0
NBPF20	1.97	0
GPR89A	1.49	0
PDZK1	1.71	0
CD160	1.51	0
RNF115	0.81	0
POLR3C	1.03	0
NUDT17	1.18	0
PIAS3	0.3	0.98
ANKRD35	1.08	0
ITGA10	0.79	0
PEX11B	1.08	0
RBM8A	0.56	0.57
LIX1L	0.92	0
ANKRD34A	0.25	0.98
POLR3GL	1.17	0
TXNIP	0.55	0.16
HFE2	0.88	0
NBPF10	1.99	0
NOTCH2NL	0.66	0.61
NBPF12	1.83	0
PRKAB2	0.48	0.73
FMO5	1.45	0
CHD1L	1.3	0
BCL9	0.38	0.5
ACP6	1.39	0
GJA5	0.81	0.02
GJA8	1	0
GPR89B	1.24	0
NBPF11	1.89	0
PPIAL4G	NA	 NA
NBPF14	1.94	0
PDE4DIP	0.82	0
NBPF9	1.97	0
